Year,State,Avg Score,Subject,Grade,Enrollment,Total funding revenue,Instruction expenditure,Total funding revenue per student,Instruction expenditure per student
2015,Alabama,258.7537615,Reading,8,734974.0,7360222,3817479,10014.26,5194.03
2015,Alaska,260.3170188,Reading,8,130755.0,2920986,1484610,22339.38,11354.14
2015,Arizona,262.7693918,Reading,8,944978.0,8230507,3846357,8709.73,4070.31
2015,Arkansas,258.768268,Reading,8,479682.0,5308625,2620399,11066.97,5462.78
2015,California,258.9868426,Reading,8,6226523.0,78248042,38951948,12566.89,6255.81
2015,Colorado,268.0732253,Reading,8,872320.0,9648297,4578938,11060.5,5249.15
2015,Connecticut,273.0480304,Reading,8,505366.0,11099837,6006275,21963.96,11885.0
2015,Delaware,262.6132907,Reading,8,121845.0,2017075,1072395,16554.43,8801.3
2015,District of Columbia,247.6534449,Reading,8,46155.0,1382282,557345,29948.69,12075.51
2015,Florida,263.3830014,Reading,8,2743641.0,26971491,14931173,9830.55,5442.1
2015,Georgia,262.2686053,Reading,8,1717805.0,18584666,10081483,10818.84,5868.82
2015,Hawaii,257.3504398,Reading,8,182384.0,2703683,1377713,14824.12,7553.91
2015,Idaho,268.5534796,Reading,8,274131.0,2167967,1130814,7908.51,4125.09
2015,Illinois,266.8067283,Reading,8,2047123.0,32096832,17313173,15679.0,8457.32
2015,Indiana,268.2534677,Reading,8,1004215.0,12456571,5537406,12404.29,5514.16
2015,Iowa,268.2005963,Reading,8,505311.0,6714410,3383909,13287.68,6696.69
2015,Kansas,266.7655306,Reading,8,496920.0,5991731,3051755,12057.74,6141.34
2015,Kentucky,267.7729001,Reading,8,688475.0,7548871,3807748,10964.63,5530.7
2015,Louisiana,255.4694178,Reading,8,661015.0,8448743,4100906,12781.47,6203.95
2015,Maine,268.3912363,Reading,8,176176.0,2739589,1406898,15550.3,7985.75
2015,Maryland,267.9055297,Reading,8,874108.0,14491642,7686024,16578.78,8792.99
2015,Massachusetts,274.4975681,Reading,8,916130.0,16985185,9774884,18540.15,10669.76
2015,Michigan,264.4967551,Reading,8,1345009.0,19025996,9040821,14145.63,6721.76
2015,Minnesota,270.2368178,Reading,8,807044.0,11684249,6257807,14477.83,7753.98
2015,Mississippi,251.9761652,Reading,8,490189.0,4592343,2350872,9368.52,4795.85
2015,Missouri,266.8763518,Reading,8,892779.0,10623391,5387766,11899.24,6034.83
2015,Montana,269.9567776,Reading,8,144447.0,1804339,940488,12491.36,6510.96
2015,Nebraska,269.4262109,Reading,8,312281.0,4248695,2446701,13605.36,7834.93
2015,Nevada,259.4173764,Reading,8,438948.0,4345419,2170424,9899.62,4944.6
2015,New Hampshire,274.8067463,Reading,8,183039.0,3093061,1697165,16898.37,9272.15
2015,New Jersey,270.8537115,Reading,8,1339230.0,29335237,15339450,21904.55,11453.93
2015,New Mexico,253.2277676,Reading,8,326297.0,3789651,1773801,11614.12,5436.15
2015,New York,263.2476586,Reading,8,2631532.0,63712218,41954260,24211.07,15942.9
2015,North Carolina,260.5945566,Reading,8,1465031.0,13146934,7960222,8973.83,5433.48
2015,North Dakota,266.955323,Reading,8,106061.0,1644533,825445,15505.54,7782.74
2015,Ohio,265.8792203,Reading,8,1600222.0,24378660,11620080,15234.55,7261.54
2015,Oklahoma,262.6731459,Reading,8,671715.0,6121188,3000894,9112.78,4467.51
2015,Oregon,267.6705197,Reading,8,570376.0,7111710,3650855,12468.46,6400.79
2015,Pennsylvania,268.7461208,Reading,8,1589429.0,29967185,16058338,18854.06,10103.21
2015,Rhode Island,265.0508578,Reading,8,134574.0,2367068,1322055,17589.34,9824.0
2015,South Carolina,260.3314228,Reading,8,737401.0,8759944,4123140,11879.48,5591.45
2015,South Dakota,267.079865,Reading,8,132836.0,1415149,709363,10653.35,5340.14
2015,Tennessee,264.771229,Reading,8,994530.0,9455920,5343272,9507.93,5372.66
2015,Texas,260.655136,Reading,8,5004866.0,55582029,26745844,11105.6,5343.97
2015,Utah,269.4306647,Reading,8,573913.0,4705084,2367650,8198.25,4125.45
2015,Vermont,273.9618314,Reading,8,85184.0,1996795,983532,23440.96,11545.97
2015,Virginia,266.8360535,Reading,8,1279867.0,15857524,8755896,12389.98,6841.25
2015,Washington,267.2508807,Reading,8,1072359.0,13709442,6508964,12784.38,6069.76
2015,West Virginia,260.1852726,Reading,8,279565.0,3478401,1819903,12442.19,6509.77
2015,Wisconsin,269.5337264,Reading,8,861813.0,11637376,5723474,13503.37,6641.2
2015,Wyoming,268.8033631,Reading,8,93867.0,1962874,895910,20911.23,9544.46
